username,repo_name,stars,repo_url
amphp,amp,4000,https://github.com/amphp/amp
danog,MadelineProto,2400,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,761,https://github.com/unreal4u/telegram-api
amphp,parallel,676,https://github.com/amphp/parallel
amphp,http-client,660,https://github.com/amphp/http-client
php-service-bus,service-bus,342,https://github.com/php-service-bus/service-bus
amphp,byte-stream,336,https://github.com/amphp/byte-stream
amphp,mysql,318,https://github.com/amphp/mysql
amphp,parallel-functions,244,https://github.com/amphp/parallel-functions
amphp,process,213,https://github.com/amphp/process
amphp,socket,193,https://github.com/amphp/socket
xtrime-ru,TelegramRSS,181,https://github.com/xtrime-ru/TelegramRSS
amphp,redis,140,https://github.com/amphp/redis
amphp,dns,138,https://github.com/amphp/dns
amphp,sync,137,https://github.com/amphp/sync
amphp,websocket-client,124,https://github.com/amphp/websocket-client
kelunik,acme,121,https://github.com/kelunik/acme
amphp,serialization,97,https://github.com/amphp/serialization
amphp,websocket-server,94,https://github.com/amphp/websocket-server
